
N(0,2)	-2.06	2.06	-4	4	
Outlier_Model()	
Start B2	
BETA-215259	-761	-543.5	-776	-421	
PLD-5782	-751	-543	-765.5	-517	
MTC-7168	-759	-547	-774.5	-514.5	
MTC-6960	-788.5	-588	-794.5	-545.5	
BETA-215261	-783.5	-566.5	-797.5	-539	
PLD-5783	-786	-592.5	-791	-565.5	
MTC-6961	-791	-589.5	-797	-547	
BETA-215262	-803.5	-591.5	-809.5	-545.5	
PLD-5784	-756	-545.5	-771	-521	
MTC-6962	-771	-567	-784.5	-541.5	
PLD-5785	-770.5	-570.5	-775	-545.5	
PLD-4154	-756	-545.5	-771	-521	
MTC-9878	-803.5	-597.5	-809	-562.5	
PLD-8444	-773	-568.5	-785	-543.5	
BETA-215263	-790	-568	-800	-541.5	
PLD-5786	-754.5	-547	-769	-539.5	
MTC-7169	-791	-589.5	-797	-547	
MTC-6964	-752	-518	-765	-419	
BETA-215264	-771.5	-548	-790.5	-484.5	
PLD-5787	-749	-539.5	-759	-477	
MTC-6965	-788.5	-588	-794.5	-545.5	
BETA-215265	-761	-543.5	-776	-421	
PLD-5788	-749.5	-516	-756.5	-419.5	
MTC-6966	-748.5	-483	-756	-414.5	
BETA-215266	-749.5	-479	-756.5	-414	
PLD-5789	-748	-518.5	-755.5	-421	
Combination20	-764.5	-589	-769	-562	
PLD-11936	-771	-567.5	-778.5	-542	
PLD-11937	-749.5	-516	-756.5	-419.5	
Combination33	-754	-547	-765.5	-541.5	
BETA-198869	-814	-775.5	-897	-594	
PLD-8229	-791.5	-766	-799.5	-589.5	
MTC-10967	-404	-232.5	-459	-202	
MTC-10968	-464	-380.5	-539.5	-263.5	
MTC-10969	-511	-389.5	-733	-376	
IAAA-41910	-775.5	-549.5	-794.5	-514.5	
IAAA-41911	-514.5	-398.5	-744.5	-388.5	
IAAA-41913	-725	-410.5	-751	-401	
PLD-4074	-720.5	-415	-747.5	-405.5	
PLD-4075	-729.5	-418.5	-748.5	-407	
PLD-4076	-404.5	-387.5	-465.5	-364.5	
PLD-4077	-360	-206.5	-384.5	-196.5	
PLD-4078	-746.5	-477	-752	-414	
MTC-6989	-539.5	-404	-748.5	-395	
BETA-140616	-514.5	-398.5	-744.5	-388.5	
IAAA-31115	-790	-568	-800	-541.5	
IAAA-31111	-794.5	-570	-803.5	-542.5	
IAAA-31109	-774	-544	-793	-421.5	
IAAA-31114	-757	-540	-771.5	-419.5	
NUTA2-9042	-749	-515.5	-756	-419	
NUTA2-9089	-724.5	-419.5	-748	-407.5	
MTC-5946	-803.5	-773	-823.5	-572.5	
MTC-5948	-796.5	-589.5	-803	-546	
BETA-201272	-737	-414.5	-753.5	-404.5	
BETA-201273	-775.5	-549.5	-794.5	-514.5	
BETA-201274	-718	-407	-749.5	-398	
PLD-4980	-751.5	-540.5	-766.5	-478.5	
PLD-4981	-765.5	-566	-774	-541.5	
PLD-10227	-756	-545.5	-771	-521	
MTC-4589	-755.5	-543.5	-773	-423.5	
MTC-5950	-803.5	-591.5	-809.5	-545.5	
BETA-188179	-790	-568	-800	-541.5	
BETA-188178	-775.5	-549.5	-794.5	-514.5	
MTC-5953	-757.5	-540	-772.5	-417	
PLD-4147	-771	-567.5	-778.5	-542	
MTC-6967	-751	-522	-764.5	-420	
PLD-4149	-757	-548.5	-772.5	-539	
PLD-5302	-720.5	-415	-747.5	-405.5	
PLD-5303	-756	-545.5	-771	-521	
PLD-5304	-791	-594.5	-797.5	-564.5	
PLD-6304	-764.5	-568	-773	-542.5	
IAAA-40547	-761	-543.5	-776	-421	
IAAA-31591	-800	-775	-813	-591.5	
MTC-6581	-759.5	-541.5	-774	-418	
BETA-204385	-814	-775.5	-897	-594	
BETA-204409	-819	-779	-898	-765	
BETA-204410	-803.5	-591.5	-809.5	-545.5	
IAAA-170889	-397.5	-375	-402.5	-232	
B6	
End B6	
Sequence()	
Start B4	
PLD-7803	-791	-774	-803	-759	
PLD-7804	-771	-567.5	-778.5	-542	
Combination4	-789	-759.5	-794	-589.5	
MTC-5957	-826.5	-775.5	-903	-594.5	
MTC-7452	-891.5	-786	-901	-773	
Combination5	-820	-789.5	-894.5	-773.5	
MTC-5964	-985	-842.5	-1040	-824.5	
MTC-7458	-980.5	-832.5	-1043.5	-809.5	
Combination6	-979.5	-839.5	-1004	-832	
MTC-5383	-803.5	-773	-823.5	-572.5	
IAAA-41122	-803.5	-591.5	-809.5	-545.5	
IAAA-30447	-969.5	-802	-1107.5	-771	
IAAA-30446	-809.5	-567.5	-894.5	-514.5	
IAAA-30440	-1047	-850.5	-1123.5	-817	
BETA-209379	-896	-813.5	-929	-799	
MTC-6396	-820	-545	-898.5	-420	
BETA-213658	-912.5	-827.5	-981	-807	
MTC-9150	-1006	-907.5	-1053	-831.5	
BETA-213592	-887	-788.5	-898	-776	
BETA-212937	-895.5	-804.5	-914.5	-794.5	
MTC-5100	-786.5	-568.5	-795	-542.5	
PLD-7802	-799	-779	-807.5	-769	
PLD-7805	-792	-573	-800.5	-543.5	
PLD-7807	-772.5	-571.5	-777.5	-547	
PLD-7809	-759	-547	-774.5	-514.5	
MTC-7449	-814.5	-389.5	-1053	-103	
MTC-7576	-818.5	-569	-897	-538.5	
BETA-214205	-1009	-908.5	-1105.5	-833.5	
MTC-7451	-734.5	-408.5	-754.5	-400	
MTC-5958	-1121.5	-981.5	-1201.5	-923	
MTC-6399	-966.5	-834.5	-991	-828	
MTC-7454	-1108	-930	-1200.5	-900.5	
