"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
90500,-1377.21,-839.74,-822.621,-373.753,-1034.77,-754.179,-826.489,-638.941,-1140.78,-872.225,-1359.28,-980.834,-2923.55,-2618.05,-3130.59,-2946.98,-3133.85,-2781.9,-2671.15,-2438.06,-3142.01,-2865.9,-3356.91,-3349.16,-3354.71,-3285.68,-3599.15,-3359.35,-2624.72,-2076.94,-3384.58,-2890.25,-2579.92,-2439.99,-2389.2,-2012.29,-1609.52,-1333.59,-1747.23,-1331.45,-1520.07,-1161.98,-2017.51,-1731.7,-2197.92,-1816.26,-1920.83,-1490.42,-6298.84,-6031.58,-7185.81,-6247.52,-8270.54,-6873.68,-6434.08,-4309.32,-10846.1,-7479.89,-5847.7,-4427.82,-14351.5,-11361.9,-15042.5,-12759.1,-11804.5,-9173.12,-12187.6,-10499.2,-12334.8,-10554.1,-4184.07,-3445.19,-5073.62,-3744.78,-4367.1,-3522.49,-3671.88,-3347.09,-4116.51,-3516.64,-4562.09,-3927.3,-5502.34,-4307.61,
90600,-1376.89,-840.187,-828.789,-344.06,-1034.77,-754.179,-826.489,-638.941,-1140.78,-865.922,-1359.28,-978.753,-2923.55,-2615.79,-3130.13,-2946.98,-3133.9,-2785.6,-2665.43,-2438.34,-3142.01,-2865.87,-3356.91,-3349.16,-3354.71,-3301.96,-3561.09,-3334.58,-2663.36,-2084.32,-3385.81,-2911.47,-2575.82,-2408.34,-2394.85,-2031.06,-1609.52,-1329.9,-1752.4,-1373.53,-1538.99,-1172.86,-2011.12,-1705.01,-2204.17,-1816.26,-1908.86,-1473.95,-6250.59,-6031.58,-7185.3,-6252.08,-8269.64,-6911.2,-6470.96,-4338.02,-10878.5,-7501.85,-5847.7,-4405.9,-14351.5,-11361.9,-15271.5,-12995.6,-11835.5,-9203.55,-12187.6,-10470.3,-12331.9,-10556.9,-4241.82,-3432.73,-5031.09,-3779.29,-4370.67,-3571.19,-3671.88,-3338.29,-4115.97,-3513.86,-4562.09,-3909.93,-5502.34,-4307.61,
90700,-1376.89,-853.261,-824.301,-358.506,-1033.79,-753.199,-826.489,-642.047,-1140.78,-862.761,-1360.14,-978.753,-2923.55,-2615.79,-3130.13,-2947.53,-3136.06,-2769.7,-2665.43,-2438.34,-3148.88,-2845.61,-3356.91,-3345.79,-3354.71,-3301.96,-3604.4,-3313.21,-2666.88,-2076,-3409.9,-2924.38,-2573.33,-2375.2,-2394.85,-2035.42,-1593.49,-1310.34,-1763.4,-1373.83,-1572,-1150.42,-2011.48,-1724.57,-2204.97,-1815.83,-1941.07,-1473.54,-6213.06,-6019.63,-7075.83,-6275.59,-8323.44,-6811.24,-6450.5,-4365.52,-10925.9,-7501.85,-5861.77,-4405.9,-14256.3,-11296.9,-15245.7,-12872.9,-11843.8,-8918.75,-12172.9,-10464.5,-12331.9,-10556.9,-4248.99,-3470.6,-4962.71,-3820.69,-4405.41,-3634.26,-3666.99,-3327.17,-4097.46,-3511.58,-4568.58,-3909.93,-5502.34,-4307.61,
90800,-1371.29,-865.049,-806.27,-365.376,-1033.79,-753.199,-826.489,-642.047,-1145.72,-862.761,-1357.5,-978.753,-2923.55,-2601.28,-3126.17,-2947.53,-3120.32,-2765.77,-2665.43,-2437.39,-3148.88,-2853.45,-3356.91,-3345.79,-3364.86,-3315.79,-3596.45,-3299.57,-2638.84,-2076,-3413.94,-2936.11,-2712.12,-2410.34,-2397.05,-2044.34,-1588.47,-1310.34,-1690.65,-1418.93,-1520.9,-1153.09,-2023.62,-1726.92,-2207.81,-1818.06,-1908.88,-1476.03,-6216.36,-6019.63,-7103.32,-6278.57,-8303.53,-6794.01,-6431.39,-4324.95,-10932.3,-7466.6,-5859.01,-4416.56,-14259.3,-11324.2,-15112.7,-13014.2,-11808.8,-9196.82,-12164,-10469.5,-12427.4,-10494.2,-4370.89,-3442.85,-4939.92,-3831.29,-4368.59,-3640.26,-3680.71,-3321.12,-4108.24,-3517.56,-4583.52,-3870.24,-5507.39,-4307.61,
90900,-1369,-862.008,-817.642,-364.712,-1033.79,-753.199,-823.831,-639.823,-1144.78,-850.43,-1372.67,-992.03,-2923.55,-2605.4,-3126.17,-2947.53,-3128.72,-2771,-2665.43,-2437.39,-3150.63,-2853.45,-3202.56,-3191.45,-3361.86,-3313.59,-3585.77,-3344.86,-2651.87,-2091.71,-3388.76,-2950.35,-2607.36,-2398.77,-2397.05,-2047.96,-1588.47,-1310.34,-1675.18,-1383.95,-1506.83,-1153.09,-1995.85,-1743.39,-2207.81,-1817.77,-1908.88,-1476.03,-6244.23,-5929.08,-7109.62,-6250.86,-8277.91,-6821.91,-6449.5,-4312.14,-10839.3,-7486.49,-5901.54,-4425.28,-14241.6,-11159,-15285.6,-12826.9,-11856,-9217.83,-12164,-10471.7,-12426.5,-10455.8,-4290.94,-3418.03,-4961.93,-3821.02,-4368.16,-3650.43,-3688.1,-3321.12,-4105.92,-3487.13,-4583.52,-3884.47,-5507.39,-4307.61,
91000,-1360.06,-859.593,-818.844,-379.979,-1025.97,-753.199,-829.623,-639.823,-1185.64,-863.918,-1372.67,-992.03,-2923.55,-2605.4,-3126.17,-2956.55,-3132,-2771,-2665.43,-2437.39,-3150.63,-2853.45,-3200.88,-3189.76,-3358.13,-3313.59,-3537.63,-3361.76,-2644.2,-2056.21,-3421.66,-2940.8,-2632.15,-2429.39,-2397.05,-2047.96,-1584.45,-1310.34,-1685.07,-1366.82,-1493.31,-1149.14,-2011.3,-1754.34,-2202.1,-1822.73,-1905.74,-1477.76,-6273.36,-5896.77,-7195.61,-6254.77,-8277.91,-6768.07,-6572.15,-4330.84,-10839.3,-7538.1,-5857.89,-4425.28,-14259,-11206.4,-15161.8,-13251.2,-11828.3,-9229.31,-12164,-10471.7,-12471.6,-10484.5,-4370.93,-3346.44,-4869.79,-3903.66,-4435.23,-3581.36,-3696.57,-3321.12,-4121.44,-3500.11,-4583.52,-3884.47,-5507.39,-4307.61,
91100,-1350.96,-871.168,-810.841,-361.72,-1030.14,-753.199,-829.623,-639.823,-1201.04,-866.914,-1368.98,-991.066,-2921.03,-2605.4,-3126.17,-2956.55,-3123.93,-2771,-2652.93,-2439.72,-3150.63,-2853.45,-3345.35,-3334.23,-3358.13,-3313.36,-3647.56,-3274.44,-2636.63,-2061.53,-3384.42,-2918.34,-2748.75,-2429.39,-2402.84,-2047.96,-1584.45,-1310.34,-1674.1,-1376.79,-1494.45,-1161.04,-1985.77,-1739.46,-2202.1,-1821.88,-1900.76,-1481.38,-6254.43,-5958.05,-7061.93,-6265.3,-8277.91,-6850.58,-6498.79,-4487.82,-10839.3,-7538.1,-5845.22,-4416.64,-14339.7,-11317.8,-14997.1,-13154.5,-11790,-9172.67,-12164,-10471.7,-12471.6,-10432.6,-4347.87,-3356.2,-4887.66,-3903.66,-4377.52,-3574.76,-3696.57,-3313.78,-4110.03,-3486.61,-4611.27,-3872.7,-5507.39,-4307.61,
91200,-1348.66,-884.011,-803.997,-363.039,-1030.14,-753.199,-830.515,-640.714,-1201.04,-873.055,-1368.98,-991.066,-2921.03,-2605.4,-3126.17,-2957.38,-3123.93,-2770.34,-2654.11,-2439.72,-3150.63,-2857.77,-3205.99,-3194.87,-3358.13,-3313.36,-3566.19,-3325.27,-2644.52,-2025.53,-3382.59,-2919.65,-2614.03,-2415.41,-2402.84,-2047.96,-1584.45,-1329.38,-1675.88,-1404.22,-1483.2,-1161.01,-1968.22,-1653.75,-2180.61,-1830.83,-1900.76,-1510.86,-6262.58,-5969.39,-7061.09,-6250.32,-8296.14,-6943.58,-6439.83,-4431.06,-10833.9,-7538.1,-5830.75,-4404.79,-14399.7,-11311.3,-14997.1,-13264.4,-11802.2,-9203.49,-12164,-10471.7,-12481.4,-10509,-4333.38,-3359.28,-4891.87,-3935.46,-4368.22,-3591.4,-3724.42,-3307.94,-4121.09,-3486.61,-4643.16,-3875.22,-5528.87,-4307.61,
91300,-1327.53,-876.921,-811.909,-363.039,-1030.14,-753.199,-828.177,-640.714,-1202.63,-876.331,-1368.98,-993.532,-2921.03,-2605.4,-3124.49,-2948.98,-3126.07,-2770.34,-2648.08,-2439.72,-3157.28,-2860.35,-3203.99,-3192.87,-3358.13,-3308.63,-3600.68,-3313.06,-2638.57,-2025.53,-3427.88,-2891.87,-2636.21,-2437.72,-2400.9,-2050.01,-1596.65,-1329.38,-1666.45,-1402.52,-1485.88,-1168.03,-1972.83,-1649.79,-2180.61,-1830.83,-1900.76,-1510.86,-6287.33,-5980.85,-7061.09,-6252.19,-8286.14,-6943.58,-6478.38,-4395.37,-10833.9,-7532.49,-5868.03,-4404.79,-14414.3,-11285.9,-15238.7,-13208.1,-11800.3,-9122.85,-12214.5,-10471.7,-12449.4,-10503.2,-4303.62,-3378.34,-4864.95,-3933.55,-4426.2,-3561.2,-3701.62,-3297.78,-4122.04,-3515.54,-4652.8,-3906.03,-5528.87,-4307.61,
91400,-1327.53,-875.283,-814.047,-365.496,-1030.14,-753.199,-826.578,-624.471,-1201.93,-876.331,-1368.98,-993.532,-2924.47,-2605.4,-3124.49,-2952.64,-3129.64,-2770.34,-2648.08,-2440.02,-3171.44,-2860.35,-3203.99,-3192.87,-3358.13,-3308.63,-3615.62,-3356.62,-2625.02,-2070.59,-3425.93,-2881.71,-2637.9,-2435.35,-2390.89,-2050.01,-1594.99,-1326.99,-1666.45,-1393.66,-1498.74,-1145.51,-1964.53,-1692.71,-2170.02,-1826.91,-1895,-1510.86,-6279.37,-5973.02,-7096.51,-6242.97,-8236.04,-6943.58,-6495.43,-4388.87,-10928.6,-7476.17,-5861.61,-4407.85,-14363.4,-11284.4,-15299.4,-13176.9,-11800.1,-9216.9,-12214.5,-10442,-12449.4,-10503.2,-4338.32,-3435.85,-4863,-3817.57,-4661.41,-3663.62,-3696.32,-3295.52,-4122.04,-3515.54,-4664.07,-3928.18,-5528.87,-4303.33,
