"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
476000,-1310.46,-908.656,-803.171,-374.294,-1077.31,-729.577,-809.715,-721.92,-1121.72,-850.521,-1312.53,-1077.5,-2910.12,-2746.28,-3121.32,-2930.94,-3092.58,-2722.35,-2623.64,-2437.85,-3118.52,-2875.61,-3362.82,-3336.86,-3352.75,-3313.51,-3401.74,-3334,-2676.73,-2073.76,-3376.73,-3025.21,-2598.72,-2436.34,-2300.03,-2097.31,-1573.88,-1344.24,-1666.9,-1400.43,-1463.37,-1236.43,-1981.69,-1801.78,-2177.32,-1852.48,-1903.93,-1450.9,-6246.32,-5997.21,-7173.96,-6240.04,-8055.66,-6988.72,-6512.67,-4379.66,-10819.2,-7485.01,-5799.67,-4306.29,-14304.4,-11996.5,-15291.6,-13199.9,-11820.7,-9131.4,-11443.1,-10620.6,-12233.9,-10467.2,-4316.65,-3430.06,-4979.9,-3826.86,-4552.93,-3624.18,-3663.25,-3430.33,-4145.31,-3529.26,-4464.1,-3993.67,-5506.79,-4311.22,
476100,-1313.1,-914.593,-803.171,-377.952,-1057.55,-737.667,-809.715,-718.155,-1121.72,-849.427,-1312.53,-1077.5,-2910.12,-2746.28,-3121.32,-2928.14,-3092.58,-2733.59,-2623.64,-2437.85,-3118.52,-2875.61,-3343.72,-3336.86,-3352.75,-3313.51,-3403.9,-3356.07,-2659.39,-2007.5,-3385.49,-3053.69,-2587.48,-2418.55,-2302.59,-2097.31,-1567.7,-1337.05,-1688.89,-1454.36,-1463.37,-1236.43,-1981.69,-1801.78,-2198.82,-1855.93,-1905.76,-1451.98,-6192.25,-5991.09,-7136.87,-6232.44,-8055.66,-6962.11,-6508.62,-4430.76,-10819.2,-7473.24,-5798.29,-4263.88,-14294.9,-11996.5,-15020.2,-12955,-11966.1,-9090.1,-11440.5,-10620.6,-12233.2,-10450.5,-4294.4,-3387.15,-4981.58,-3832.19,-4409.04,-3644.04,-3663.25,-3440.62,-4145.31,-3534.95,-4483.8,-3993.67,-5506.79,-4311.22,
476200,-1319.82,-887.215,-809.558,-377.952,-1084.03,-720.127,-809.298,-718.155,-1132.18,-869.62,-1315.88,-1077.5,-2910.12,-2746.28,-3121.32,-2928.14,-3070,-2733.59,-2623.64,-2437.85,-3118.52,-2875.61,-3343.72,-3336.86,-3352.75,-3323.03,-3406.51,-3351.92,-2630.82,-2112.16,-3385.49,-3033.82,-2637.15,-2407.94,-2302.59,-2097.31,-1567.04,-1347.17,-1674.39,-1450.59,-1495.82,-1238.11,-1981.69,-1809.63,-2198.82,-1850.27,-1891.55,-1451.98,-6168.61,-6006.82,-7113.99,-6232.44,-8067.75,-6890.72,-6449.52,-4430.76,-10817.8,-7485.57,-5799.58,-4274.8,-14269.3,-12003.6,-15183.7,-13234.2,-11790.2,-9073.41,-11440.5,-10625,-12229.3,-10419.7,-4324.61,-3338.32,-5062.94,-3871.68,-4342.44,-3559.97,-3658.87,-3427.04,-4106.14,-3529.65,-4506.12,-3993.95,-5486.09,-4318.38,
476300,-1319.82,-891.683,-812.613,-375.255,-1084.03,-720.127,-809.298,-718.155,-1137.24,-865.998,-1315.88,-1077.5,-2911.2,-2746.28,-3121.32,-2928.21,-3070,-2733.77,-2623.64,-2442.39,-3109.95,-2865.5,-3349.06,-3336.86,-3352.11,-3323.03,-3508.04,-3458.26,-2634.03,-2112.16,-3379.16,-3035.31,-2627.57,-2352.24,-2302.59,-2088.51,-1567.04,-1347.98,-1668.77,-1438.15,-1495.43,-1243.51,-1993.23,-1809.63,-2219.49,-1849.9,-1881.29,-1465.14,-6221.03,-6033.99,-7127.58,-6178.07,-8027.28,-6865.75,-6483.72,-4293.78,-10819,-7446.79,-5763.9,-4267.81,-14287.2,-12003.6,-15116.6,-13097.5,-11790.2,-9181.21,-11440.5,-10625,-12229.3,-10413.1,-4260.94,-3338.32,-4921.88,-3824.42,-4458.31,-3587.84,-3658.87,-3426.06,-4106.14,-3543.49,-4459.01,-3984.49,-5486.09,-4318.38,
476400,-1319.82,-879.546,-812.545,-363.061,-1096.63,-717.783,-809.298,-718.155,-1139.13,-860.45,-1315.88,-1077.5,-2911.2,-2746.92,-3113.19,-2924.79,-3074.61,-2733.77,-2632.99,-2442.39,-3109.95,-2865.5,-3363.57,-3351.37,-3352.11,-3323.03,-3502.92,-3452.04,-2617.53,-2099.92,-3396.75,-3043.78,-2576.7,-2407.77,-2302.59,-2088.51,-1568.9,-1348.59,-1668.97,-1452.78,-1497.08,-1243.51,-1993.23,-1766.55,-2219.49,-1850.5,-1865.78,-1476.24,-6136.75,-6000.84,-7199.35,-6140.92,-8027.28,-6865.75,-6597.98,-4319,-10834,-7439.01,-5763.9,-4294.6,-14447.6,-11915.3,-15415,-13101.9,-11900.2,-9160.28,-11440.5,-10625,-12229.3,-10432.2,-4262.71,-3385.77,-4979.5,-3814.4,-4450.17,-3607.32,-3674.67,-3394.44,-4087.3,-3550.38,-4467.17,-3993.77,-5486.09,-4318.38,
476500,-1303.81,-896.311,-800.882,-371.615,-1095.72,-716.873,-809.298,-718.155,-1139.13,-860.45,-1320,-1075.26,-2911.2,-2750.19,-3113.19,-2924.79,-3068.56,-2735.49,-2624.61,-2442.39,-3109.95,-2865.5,-3347.03,-3341.03,-3208.25,-3120.27,-3502.59,-3322.44,-2617.53,-2101.42,-3396.18,-3043.78,-2594.38,-2340.46,-2302.11,-2088.41,-1571.16,-1348.59,-1678.44,-1457.29,-1493.31,-1245.43,-2002.58,-1766.55,-2219.38,-1844.84,-1874.89,-1467.15,-6142.58,-6009.89,-7117.64,-6188.59,-8027.28,-6853.82,-6507.79,-4369.69,-10825.3,-7439.01,-5759.81,-4317.19,-14447.6,-11971.9,-15120,-13355.9,-11868.8,-9178.46,-11440.5,-10625,-12242,-10432.2,-4294.65,-3357.62,-4993.51,-3826.18,-4358.53,-3616.33,-3666.46,-3363.66,-4087.3,-3550.38,-4509.4,-4002.28,-5517.75,-4318.38,
476600,-1310.79,-891.242,-799.088,-373.557,-1091.99,-742.688,-811.568,-718.155,-1151.48,-860.45,-1318.55,-1077.41,-2911.2,-2750.21,-3113.19,-2924.79,-3092.12,-2729.68,-2624.61,-2442.39,-3109.95,-2865.5,-3346.58,-3340.54,-3203.82,-3200.68,-3459.02,-3342.63,-2633.79,-2101.42,-3408.9,-3031.49,-2576.42,-2401.72,-2302.11,-2088.41,-1571.16,-1346.01,-1733.71,-1454.21,-1494.44,-1246.89,-1980.47,-1756.44,-2231.26,-1843.74,-1879.29,-1467.15,-6166.66,-5997.79,-7141.28,-6201.31,-8027.28,-6853.82,-6534.6,-4433.77,-10831.6,-7399.6,-5762.66,-4315.7,-14447.6,-11748.9,-15235.5,-13133.7,-11716,-9144.38,-11421.3,-10625,-12242,-10495.8,-4350.13,-3421.85,-4965.92,-3896.24,-4388.82,-3635.13,-3670.87,-3380.64,-4075.81,-3562.07,-4503.06,-3984.54,-5517.75,-4318.38,
476700,-1317.86,-873.012,-800.069,-365.493,-1091.77,-742.688,-811.338,-716.97,-1163.92,-860.154,-1318.55,-1075.97,-2911.2,-2750.21,-3113.19,-2924.57,-3086.98,-2729.68,-2624.22,-2442.39,-3109.95,-2865.5,-3364.16,-3340.54,-3225.98,-3198.28,-3471.57,-3355.92,-2633.98,-2064.47,-3498.19,-3031.49,-2589.32,-2408.48,-2302.11,-2086.29,-1576.38,-1345.87,-1734.76,-1454.21,-1494.44,-1246.89,-1998.1,-1756.44,-2231.26,-1846.76,-1881,-1461.24,-6230.52,-5987.06,-7105.51,-6224.2,-8027.28,-6853.82,-6460.92,-4362.56,-10798.4,-7417.37,-5772,-4318.86,-14449.2,-11971.2,-15254.7,-13016.7,-11801.1,-9090.89,-11421.3,-10625,-12241.8,-10495.8,-4356.11,-3460.72,-4933.96,-3849.41,-4431.45,-3480.51,-3661.93,-3355.24,-4075.81,-3562.07,-4503.06,-3988.1,-5517.75,-4318.38,
476800,-1313.38,-870.213,-807.894,-350,-1080.79,-742.688,-811.338,-716.97,-1163.92,-865.053,-1318.55,-1074.37,-2907.03,-2750.21,-3113.19,-2914.73,-3086.98,-2740.08,-2624.22,-2442.39,-3109.95,-2865.5,-3357.34,-3333.71,-3208.11,-3198.28,-3447.47,-3366,-2701.15,-2078.7,-3487.73,-3031,-2592.75,-2420.65,-2302.11,-2074.96,-1576.38,-1345.87,-1732.56,-1463.81,-1469.47,-1246.89,-1993.85,-1758.17,-2224.14,-1839.88,-1872.23,-1441.3,-6235.82,-6024.38,-7079.23,-6275.21,-8072.21,-6853.82,-6471.9,-4306.28,-10848.1,-7417.05,-5772.3,-4321.52,-14391.2,-11971.2,-15180.1,-12847.7,-11813.5,-9140.24,-11421.3,-10618.6,-12259.3,-10495.8,-4302.41,-3362.11,-4956.54,-3837.68,-4443.63,-3630.53,-3688.72,-3381.31,-4075.81,-3534.19,-4503.06,-3994.77,-5517.75,-4294.58,
476900,-1318.5,-878.564,-807.164,-350,-1085.21,-742.688,-811.483,-718.111,-1163.92,-865.053,-1318.55,-1077.24,-2907.03,-2750.21,-3113.19,-2910.26,-3088.48,-2739.36,-2618.42,-2442.39,-3109.95,-2865.3,-3357.34,-3333.87,-3210.93,-3198.28,-3457.01,-3434.52,-2669.51,-2172.11,-3469.95,-3004.92,-2630.06,-2416.5,-2342.18,-2074.96,-1575.32,-1344.82,-1694.85,-1452.42,-1469.47,-1242.38,-2025.44,-1762.05,-2209.34,-1840.07,-1883.12,-1449.54,-6217.24,-6048.09,-7082.39,-6239.49,-8072.21,-6785.98,-6464.52,-4375.89,-10829.7,-7257.52,-5783.88,-4329.62,-14355.6,-11971.2,-15116.1,-12152.9,-11791.3,-9171.72,-11440.1,-10618.6,-12259.3,-10495.8,-4340.56,-3388.67,-4923.29,-3837.68,-4465.85,-3654.44,-3688.72,-3349.3,-4075.09,-3534.19,-4473.11,-3975.86,-5517.75,-4294.58,
