"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
356500,-1229.96,-940.526,-730.171,-490.884,-939.188,-763.319,-796.128,-730.193,-1058.82,-872.853,-1276.06,-1078.08,-2880.09,-2851.81,-3097.37,-3027.37,-3034.89,-2804.46,-2602.32,-2479.43,-3071.9,-2946.08,-3358.55,-3334.55,-3208.84,-3177.44,-3514.74,-3407.47,-2554.16,-2241.11,-3294.03,-3060.68,-2569.21,-2471.43,-2268.29,-2134.99,-1536.72,-1365.37,-1732.55,-1444.46,-1444.4,-1285.09,-1975.42,-1793.37,-2078.65,-1857.59,-1795.93,-1586.58,-6213.86,-6108.01,-6896.36,-6290.81,-7925.28,-7174.75,-6327.55,-5694.56,-9480.1,-8358.75,-5564.92,-4997.39,-13654.9,-12321.6,-14862.5,-13562.1,-10811.8,-9271,-11202.1,-10615.2,-11885.6,-11132.8,-3985.34,-3507.7,-4922.81,-4126.61,-4218.24,-3606.45,-3638.93,-3481.84,-4017.32,-3630.57,-4353.82,-4042.62,-5350.47,-4742.96,
356600,-1238.57,-969.409,-730.171,-451.669,-946.511,-763.319,-796.263,-743.232,-1120.47,-944.504,-1283,-1101.77,-2881.16,-2851.81,-3111.2,-3018.26,-3034.89,-2766.75,-2602.32,-2479.43,-3050.68,-2937.34,-3354.03,-3329.47,-3220.95,-3177.44,-3516.49,-3425.82,-2516.73,-2207.98,-3280.86,-3043.45,-2636.03,-2480.71,-2255.38,-2146.89,-1536.72,-1367.71,-1637.78,-1431.11,-1479.77,-1246.76,-1971.15,-1825.72,-2092.65,-1893.87,-1789.45,-1592.79,-6226.63,-6076.22,-6903.03,-6355.07,-7899.02,-7114.83,-6200.48,-5661.31,-9396.91,-8374.19,-5652.33,-4972.54,-13799.7,-12290.3,-14631.9,-13818.6,-11156.5,-9139.37,-11207.9,-10627.5,-12020.2,-11075.5,-4051.6,-3499.42,-4832.87,-4169.01,-4228.66,-3401.22,-3618.23,-3480.96,-4008.17,-3630.57,-4370.39,-4090.38,-5312.08,-4742.96,
356700,-1239.72,-957.829,-740.691,-463.243,-946.511,-746.379,-810.818,-732.35,-1127.43,-935.048,-1284.54,-1096.16,-2881.16,-2851.81,-3138.26,-3016.73,-3017.35,-2760.16,-2600.92,-2464.27,-3050.68,-2945.37,-3354.03,-3339.91,-3144.86,-3135.55,-3494.93,-3361.94,-2568.01,-2279.03,-3279.14,-3061.6,-2511.48,-2429.65,-2257.99,-2095.35,-1551.98,-1330.59,-1683.32,-1490.72,-1413.53,-1250.52,-1959.88,-1758.57,-2127.86,-1874.93,-1822.52,-1602.78,-6243.67,-6129.87,-6827.65,-6339.62,-7942.77,-7180.82,-6195.02,-5673.79,-9297.91,-8385.73,-5603.68,-4972.67,-13708.2,-12514.6,-14571.2,-13553.1,-11031.8,-9394.36,-11215,-10619.6,-12035.1,-11066.4,-3918.84,-3462.45,-4870.83,-4203.72,-4185.35,-3803.91,-3621.5,-3448.18,-3948.22,-3606.83,-4410.02,-4086.37,-5312.08,-4742.96,
356800,-1251.97,-1001.38,-723.214,-497.58,-969.596,-741.597,-803.765,-748.478,-1143.51,-917.752,-1273.24,-1096.16,-2881.16,-2851.81,-3125.39,-3016.73,-3034.08,-2780.88,-2600.92,-2481.27,-3067.96,-2945.37,-3354.03,-3339.91,-3190.19,-3138.13,-3573.42,-3370.48,-2536.04,-2249.77,-3260.61,-3021.1,-2499.91,-2461.44,-2259.6,-2138.46,-1538.33,-1314.24,-1662.4,-1455.15,-1464.28,-1221.91,-2001.92,-1791.56,-2088.24,-1874.93,-1780.89,-1639.55,-6220.95,-6099.7,-6849.98,-6434.7,-7959.95,-7180.82,-6223.11,-5673.79,-9458.65,-8378.55,-5667.19,-5024.36,-13708.2,-12543.3,-14642.1,-13415.7,-10754.1,-9443.04,-11126.9,-10588.3,-12068.7,-11130,-3912.84,-3544.43,-4692.32,-4216.4,-4319.12,-3808.77,-3606.45,-3476.97,-4020.44,-3644.56,-4381.92,-4080.42,-5312.08,-4742.96,
356900,-1258.11,-961.773,-718.757,-439.754,-957.12,-788.487,-803.765,-748.478,-1116.91,-934.154,-1282.46,-1096.16,-2881.16,-2851.81,-3125.39,-3013.78,-2992.56,-2750.66,-2573.43,-2472.34,-3069.42,-2942.04,-3354.03,-3337.44,-3178.64,-3131.53,-3553.75,-3360.09,-2543.13,-2281.59,-3279.15,-3075.28,-2537.57,-2432.83,-2262.95,-2125.3,-1534.63,-1334.07,-1673.38,-1447.53,-1423.64,-1234.12,-1945.87,-1789.76,-2123.7,-1891.51,-1774.1,-1575.22,-6149.4,-5976.9,-6832.49,-6368.01,-7787.47,-7097.03,-6202.73,-5745.52,-9435.56,-8378.55,-5636,-5024.36,-13631.7,-12351.7,-14910.8,-13551.6,-11086,-9606.68,-11121.8,-10620.6,-11900.1,-11134.3,-4007.6,-3507.35,-4726.09,-4126.23,-4259.42,-3746.92,-3617.94,-3470.9,-3950.08,-3652.47,-4411.57,-4111.51,-5346.38,-4704.87,
357000,-1225.61,-921.297,-729.701,-470.192,-997.692,-767.648,-792.231,-738.62,-1117.58,-927.921,-1299.08,-1097.53,-2885.97,-2851.81,-3129.18,-2991.77,-3067.7,-2785.89,-2573.43,-2470.94,-3073.87,-2935.16,-3354.88,-3337.44,-3168.25,-3125.84,-3592.97,-3355.81,-2565.76,-2250.96,-3275.2,-3043.6,-2601.65,-2420.28,-2262.95,-2139.78,-1514.69,-1362.05,-1661.73,-1457.22,-1445.01,-1256.2,-1950.18,-1776.03,-2116.6,-1853.33,-1795.99,-1609,-6138.23,-6040.96,-6886.78,-6338.89,-7958.21,-7069.81,-6245.59,-5709.69,-9323.8,-8374.19,-5632.9,-4986.72,-13708.1,-12474.4,-14576.6,-13415.6,-10769.5,-9364.52,-11249.1,-10594.3,-11975.6,-11177.4,-3895.01,-3468.55,-4848.93,-4049.28,-4278.08,-3807.62,-3587.07,-3481.1,-3949.61,-3577.33,-4350.17,-4021.74,-5346.38,-4704.87,
357100,-1194.38,-956.206,-751.695,-466.84,-984.949,-735.987,-799.778,-733.459,-1091.66,-927.921,-1288.01,-1093,-2885.97,-2851.81,-3125.13,-2996.4,-3022.04,-2833.75,-2573.55,-2476.05,-3079.54,-2946.68,-3348.11,-3339.59,-3161.75,-3140.81,-3526.48,-3392.25,-2580.05,-2264.79,-3274.28,-3059.93,-2530.06,-2393.32,-2243.86,-2136.59,-1548.47,-1360.84,-1635.38,-1455.08,-1470.93,-1273.27,-1940.38,-1786.07,-2119.56,-1852.44,-1799.14,-1610.23,-6191.98,-6054.17,-6827.9,-6103.07,-7841.08,-7090.14,-6277.14,-5712.53,-9328.01,-8349.51,-5621.93,-5008.02,-13673.8,-12387.3,-14728.3,-13796.2,-10957.3,-9199.49,-11186.5,-10553.8,-11985.9,-11059.1,-3956.67,-3338.36,-4871.9,-4190.73,-4269.43,-3826.88,-3619.38,-3492.42,-3987.11,-3661.24,-4385.43,-4041.27,-5303.49,-4747.25,
357200,-1244.16,-944.881,-720.5,-464.522,-984.949,-747.17,-799.778,-749.051,-1148.58,-937.775,-1275.39,-1085.22,-2885.97,-2851.81,-3110.73,-3020.35,-2996.7,-2767.97,-2600.16,-2486.26,-3090.36,-2945.28,-3348.11,-3338.11,-3152.84,-3140.81,-3502.93,-3441.08,-2571.05,-2241.63,-3292.1,-3047.84,-2516.53,-2463.62,-2263.09,-2133.22,-1538.59,-1366.52,-1624.32,-1477.5,-1448.08,-1241.49,-1990.21,-1734.73,-2068.21,-1871.65,-1799.87,-1620.18,-6194.22,-6042.27,-6961.09,-6423.34,-7955.91,-7137.88,-6217.73,-5710.08,-9384.19,-8349.51,-5617.42,-5024.15,-13717,-12553.9,-14709.7,-13445.3,-10890.1,-9240.26,-11186.5,-10700.8,-11954.5,-10951.4,-3892.82,-3448.73,-4667.4,-4156.03,-4195.71,-3646.08,-3631.68,-3495.08,-3958.48,-3644.51,-4381.16,-4050.55,-5303.49,-4719.84,
357300,-1206.61,-933.965,-779.235,-474.244,-968.918,-744.638,-793.74,-739.008,-1128.68,-916.241,-1279.83,-1085.22,-2885.97,-2847.23,-3104.96,-3031.78,-3021.91,-2795.4,-2603.75,-2486.26,-3075.15,-2948.08,-3363.38,-3338.11,-3199.57,-3146.86,-3540.24,-3432.99,-2539.72,-2173.87,-3354.85,-3083.51,-2667.47,-2429.86,-2250.25,-2133.22,-1559.72,-1388.79,-1661.92,-1471.29,-1462.96,-1263.48,-1952.67,-1753.06,-2119.48,-1824.46,-1799.87,-1582.01,-6189.66,-6071.24,-6996.85,-6379.51,-8033.22,-7147.59,-6274.95,-5641.47,-9419.21,-8310.51,-5682.3,-4993.05,-13572.9,-12257.1,-14384.4,-13206.7,-11077.8,-9272.14,-11191.2,-10565.3,-11932.1,-11056.5,-3901.44,-3504.03,-4788.9,-4208.46,-4345.01,-3663.4,-3641.27,-3496.46,-3958.48,-3607.96,-4370.37,-4080.03,-5303.49,-4657.03,
357400,-1213.09,-958.941,-743.659,-483.264,-989.497,-771.67,-793.74,-735.671,-1101.88,-936.205,-1285.39,-1104.39,-2884.58,-2847.23,-3125.12,-3036.43,-3006.34,-2823.99,-2603.75,-2462.6,-3060.83,-2948.08,-3351.72,-3338.11,-3199.57,-3147.67,-3515.61,-3427.23,-2502.96,-2202.65,-3282.97,-3004.99,-2554.27,-2440.24,-2249.45,-2131.27,-1525.69,-1389.44,-1664.84,-1498.51,-1458.16,-1287.97,-1988.78,-1732.89,-2098.25,-1871.28,-1835.09,-1580.48,-6176.65,-6069.44,-7053.34,-6264.71,-7914.9,-7128.3,-6284.99,-5702.53,-9399.76,-8329.72,-5683.36,-5078.97,-13725.5,-12380.6,-14511.9,-13557.2,-10741.1,-9315.55,-11215.7,-10609.4,-12050.6,-11056.5,-3994.38,-3450.91,-4811.03,-4228.76,-4268.14,-3778.25,-3645.13,-3421.26,-3982.29,-3579.86,-4307.62,-4030.11,-5303.49,-4622.81,
