"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
474500,-1222.9,-947.244,-716.499,-419.359,-934.222,-786.935,-788.288,-730.947,-1135.03,-900.566,-1272.21,-1113.39,-2844.33,-2701.73,-3114.65,-2980.02,-3064.98,-2746.5,-2624.85,-2473.47,-3066.44,-2929.22,-3205.46,-3194.42,-3229,-3192.32,-3544.98,-3415.09,-2524.57,-2276.96,-3217.27,-3009.43,-2491.47,-2446.12,-2272.23,-2122.07,-1555.21,-1368.62,-1598.31,-1421.81,-1430.72,-1242.42,-1952.24,-1730.72,-2143.34,-1904.85,-1764.17,-1562.22,-6234.13,-6051.38,-6759.87,-6275.39,-7943.75,-7079.24,-6200.88,-5607.19,-9395.52,-8282.96,-5714.33,-4987.81,-13666.7,-12330.2,-14710.7,-13173.2,-11189.1,-9127.29,-11246.7,-10725.1,-12064.6,-11229.1,-3919.55,-3548.59,-4780.56,-4241.25,-4175.29,-3810.19,-3586.36,-3371.15,-3979.85,-3617.03,-4361.92,-4095.72,-5260.79,-4743.3,
474600,-1223.94,-967.356,-705.297,-448.155,-957.157,-767.203,-784.414,-729.438,-1111.73,-918.308,-1266.14,-1091.2,-2886.69,-2743.73,-3104.23,-2998.54,-3031.96,-2801.59,-2604.78,-2454.59,-3083.55,-2922.62,-3358.23,-3330.95,-3214.85,-3204.32,-3455.63,-3407.87,-2510.53,-2189.77,-3302.11,-2996.95,-2531.9,-2441.99,-2294.57,-2117.11,-1521.13,-1355.5,-1657.83,-1470.63,-1441.84,-1259.23,-1945.23,-1781.9,-2099.03,-1867.99,-1799.9,-1577.2,-6131.71,-6053.3,-6839.86,-6291.11,-7831.7,-7146.89,-6231.18,-5692.26,-9526.8,-8467.87,-5653.57,-5087.76,-13737,-12279.8,-14630.3,-13591.1,-10950.9,-9391.53,-11271.7,-10731.7,-12002.8,-11114.3,-3909.64,-3458.03,-4777.81,-4074.21,-4150.14,-3757.73,-3653.85,-3457.85,-3958.79,-3600,-4386.32,-4057.99,-5412.95,-4780.93,
474700,-1233.18,-999.901,-756.378,-512.516,-971.688,-786.869,-794.904,-724.67,-1098.32,-928.434,-1303.61,-1084.35,-2876.55,-2741.64,-3119.89,-2947.12,-2997.94,-2788.84,-2623.39,-2461.34,-3087.08,-2924.86,-3351.36,-3325.93,-3238.54,-3207.52,-3508.91,-3327.61,-2567.98,-2199.44,-3285.2,-3050.38,-2549.7,-2448.59,-2273.39,-2123.21,-1542.87,-1344.87,-1678.89,-1444.56,-1454.14,-1296.16,-1927.23,-1771.55,-2109.98,-1849.28,-1784.45,-1592.54,-6202.27,-6088.98,-6966.55,-6282.66,-7881.81,-6959.98,-6398.1,-5737.88,-9508.42,-8311.21,-5669.62,-4999.27,-13671,-12470.6,-14282.4,-12561.5,-10700,-9124.7,-11240.6,-10592.2,-12040.6,-11178.7,-3872.63,-3476.23,-4773.27,-4212.48,-4249.89,-3723.4,-3635.28,-3444.9,-3992.78,-3585.58,-4333,-4078.38,-5264.92,-4649.65,
474800,-1240.74,-975.452,-724.4,-453.284,-958.501,-769.481,-786.749,-696.28,-1103.4,-920.817,-1279.98,-1052.85,-2870.42,-2735.72,-3104.37,-3006.77,-3040.58,-2794.01,-2615.17,-2461.6,-3090.79,-2917.38,-3349,-3332.93,-3222.26,-3188.39,-3523.76,-3393.66,-2545.68,-2273,-3404.29,-3081.29,-2553.93,-2444.67,-2272.92,-2123.53,-1525.58,-1361.59,-1702.03,-1397.6,-1439.1,-1242.33,-1954.66,-1747.29,-2107.38,-1823.71,-1805.55,-1583.4,-6218.58,-6007.56,-6880.93,-6231.54,-7801.05,-7051.05,-6288.1,-5672.31,-9389.23,-8467.06,-5623.38,-4965.85,-13893.2,-12333.6,-14814.5,-13287.4,-10847.9,-9213.24,-11318.9,-10739.1,-12002.7,-10983.2,-3917.18,-3415.78,-4783.04,-4205.51,-4200.62,-3804.66,-3658.73,-3403.7,-3980.12,-3567.84,-4336.78,-4050.24,-5270.39,-4764.62,
474900,-1218.58,-978.65,-719.942,-486.821,-938.12,-768.189,-782.331,-740.38,-1081.7,-887.794,-1281.95,-1090.04,-2864.4,-2701.31,-3092.67,-2952.99,-3023.62,-2813.59,-2640.82,-2480.22,-3104.91,-2919.2,-3349.23,-3334.93,-3261.98,-3099.56,-3520.28,-3409.33,-2561.25,-2263.75,-3340.81,-3134.53,-2561.73,-2470.09,-2270.82,-2116.92,-1560.05,-1388.54,-1631.55,-1463.12,-1415.43,-1250.49,-1959.48,-1796.58,-2068.4,-1856.4,-1780.25,-1593.04,-6189.35,-6059.55,-6964.11,-6381.64,-7869.34,-7088.88,-6279.91,-5684.09,-9491.37,-8430.14,-5577.15,-5062.87,-13765,-12305.5,-14918.4,-13581,-10704.7,-9118.6,-11208,-10683.7,-11974.8,-11119.1,-4010.93,-3460.08,-4680.64,-4218.85,-4322.14,-3739.08,-3626.7,-3435.09,-3926.4,-3604.2,-4327.8,-3964.53,-5346.31,-4773.5,
475000,-1243.97,-995.651,-745.041,-463.928,-964.32,-722.149,-809.582,-731.731,-1103.41,-933.876,-1263.34,-1064.29,-2871.01,-2736.97,-3120.71,-2992.24,-3011.64,-2837.02,-2589.5,-2456.98,-3115.36,-2940.18,-3352.01,-3318.19,-3285.19,-3149,-3435.79,-3386.45,-2645.23,-2252,-3295.4,-3021.75,-2542.25,-2413.93,-2276.32,-2103.69,-1556.15,-1351.51,-1666.18,-1442.81,-1441.91,-1257.2,-1961.61,-1707.94,-2073.48,-1796.85,-1797.81,-1583.56,-6293.39,-6046.73,-6916.87,-6329.09,-7852.13,-7148.63,-6289.25,-5603.98,-9497.93,-8410.38,-5673.63,-4945.56,-13898,-12431.1,-14592.4,-13030.1,-10899.8,-9466.33,-11240.8,-10663.2,-12041.5,-11030.2,-3906.01,-3458.2,-4625.03,-4048.66,-4273.66,-3561.08,-3611.81,-3439.24,-3910.63,-3576.17,-4402.91,-4053.73,-5333.41,-4806.78,
475100,-1247.81,-1010.62,-748.62,-496.435,-962.957,-744.732,-799.563,-741.468,-1118.66,-936.791,-1289.25,-1080.86,-2865.42,-2742.05,-3108.85,-2998.28,-3012.51,-2763.45,-2615.87,-2453.1,-3097.74,-2931.58,-3199.01,-3197.49,-3318.21,-3179.5,-3637.58,-3310.76,-2595,-2260.73,-3348.74,-2930.87,-2579.13,-2373.26,-2281.71,-2108.5,-1549.78,-1380.35,-1639.05,-1491.73,-1441.15,-1209.65,-1961.21,-1791.68,-2101.18,-1898.36,-1821.51,-1583.02,-6118.81,-6023.93,-6895.41,-6358.88,-7977.88,-7127.24,-6318.98,-5635.05,-9422.89,-8367.53,-5649.96,-5010.57,-13646.6,-12439.3,-14507.2,-12990.7,-10739.1,-9279.08,-11226.1,-10745.2,-11997.6,-11147.3,-3955.96,-3448.71,-4817.43,-4127.53,-4112.36,-3602.74,-3676.52,-3424.59,-3935.25,-3621.9,-4417.4,-4057.26,-5319.12,-4693.37,
475200,-1238.34,-992.951,-740.639,-489.063,-959.179,-749.225,-787.324,-734.023,-1073.38,-902.293,-1256.63,-1074.31,-2886.68,-2695.93,-3077.93,-3004.07,-2998.2,-2797.48,-2626.47,-2465.91,-3094.64,-2936.34,-3346.73,-3336.61,-3260.92,-3175.62,-3515.49,-3490.16,-2550.26,-2276.81,-3306.55,-3061.8,-2573.39,-2473.79,-2304.19,-2114.8,-1555.75,-1353.66,-1665.41,-1431.44,-1454.72,-1275.85,-1963.68,-1793.43,-2070.36,-1828.82,-1781.13,-1573.44,-6151.58,-6043.97,-6829.29,-6265.88,-8014.31,-7036.52,-6251.6,-5684.72,-9453.67,-8320.18,-5682.28,-5022.18,-13615.7,-12218.2,-14740.5,-13380.7,-11183.8,-8792.45,-11245.9,-10706.4,-12070.2,-11149.8,-3999.45,-3412.77,-4837.06,-4217.38,-4211.38,-3695.05,-3610.68,-3465.34,-4072.2,-3641.76,-4355.53,-4062.42,-5355.91,-4723.51,
475300,-1247.21,-984.38,-741.9,-465.602,-972.393,-749.301,-807.573,-724.189,-1053.61,-953.3,-1281.16,-1086.2,-2859.84,-2701.1,-3101.73,-2967.61,-3038.41,-2812.51,-2597,-2472.14,-3079.33,-2926.7,-3347.86,-3341.56,-3225.9,-3186.46,-3528.7,-3486.31,-2536.79,-2209.84,-3313.71,-3038.6,-2530.87,-2427.5,-2287.86,-2079.7,-1531.97,-1356.15,-1625.01,-1513.79,-1469.92,-1237.09,-1921.04,-1760.84,-2050.98,-1848.35,-1798.55,-1603.5,-6159.63,-6022.93,-6967.11,-6363.62,-7887.32,-7179.37,-6265.87,-5620.1,-9559.41,-8395.17,-5626.9,-5013.37,-13881.4,-12562.5,-14833.3,-13454.1,-10629.1,-9277.22,-11206.3,-10736.4,-12122.7,-11109.5,-3967.35,-3408.49,-4819.29,-4184.22,-4145.87,-3809.66,-3598.28,-3416.6,-3953.29,-3607.33,-4394.52,-4084.82,-5262.2,-4713.23,
475400,-1205.6,-940.163,-753.712,-491.797,-974.684,-773.711,-790.331,-747.329,-1092.12,-927.449,-1293.46,-1064.71,-2862.38,-2688.63,-3119.96,-2996.77,-3021.62,-2735.92,-2607.48,-2449.99,-3094.72,-2918.01,-3347.77,-3339.8,-3234.64,-3173.51,-3499.22,-3459.1,-2568.13,-2275.51,-3304.93,-3057.1,-2541.16,-2448.25,-2277.88,-2105.53,-1537,-1329.58,-1643.56,-1510.46,-1488.3,-1241.58,-1941.75,-1739.95,-2157.67,-1843.24,-1803.91,-1586.6,-6148.67,-6062.91,-6914.89,-6282.94,-7854.41,-7107.35,-6268.06,-5724.54,-9345.71,-8349.73,-5563.65,-4987.75,-13490.9,-12450.2,-15036.7,-13654.7,-10735.3,-9283.12,-11248.9,-10705.1,-12090.9,-11052.8,-3955.52,-3428.06,-4684.63,-4225.18,-4285.29,-3827.68,-3668.17,-3468.81,-3953.34,-3670.84,-4402.43,-4067.86,-5358.44,-4710.27,
